id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1100015,RO,2017,25437,Alta Floresta D'Oeste,485374000,18243861,1878,5.1,4.3,0.3,4.8,19081.42,9714.52
1100015,RO,2019,22945,Alta Floresta D'Oeste,495775000,19035814,1878,4.7,4.6,0.6,4.9,21607.1,10136.22
1100023,RO,2017,107345,Ariquemes,2287910000,64242278,8836,5.4,4.7,0.7,1.9,21313.61,7270.52
1100023,RO,2019,107863,Ariquemes,2579278000,73389544,7999,5.1,4.4,0.7,0.9,23912.54,9174.84
1100031,RO,2017,6224,Cabixi,138110000,5325814,596,6.1,,0.0,,22189.91,8935.93
1100031,RO,2019,5312,Cabixi,139976000,6760752,444,5.1,,0.0,,26350.9,15226.92
1100049,RO,2017,88507,Cacoal,2082761000,43023573,4962,6.1,4.5,0.1,0.6,23532.16,8670.61
1100049,RO,2019,85359,Cacoal,2261930000,52561942,4560,5.6,4.3,0.0,0.7,26499.02,11526.74
1100056,RO,2017,17934,Cerejeiras,439245000,11194317,1001,6.0,,0.1,,24492.31,11183.13
1100056,RO,2019,16323,Cerejeiras,506494000,14092619,997,6.1,,0.0,,31029.47,14135.02
1100064,RO,2017,18467,Colorado do Oeste,328377000,10419925,1609,6.4,,0.0,0.8,17781.83,6476.03
1100064,RO,2019,15882,Colorado do Oeste,334922000,14896801,1372,6.3,,0.0,0.0,21088.15,10857.73
1100072,RO,2017,8659,Corumbiara,332804000,7025528,751,5.7,,0.3,10.3,38434.46,9354.9
1100072,RO,2019,7391,Corumbiara,349289000,8971299,597,6.0,,0.3,12.0,47258.69,15027.3
1100080,RO,2017,17400,Costa Marques,212879000,10965830,1797,5.0,,0.9,9.0,12234.43,6102.3
1100080,RO,2019,18331,Costa Marques,238796000,14439095,1575,4.9,,0.5,6.3,13026.89,9167.68
1100098,RO,2017,33030,Espigão D'Oeste,566361000,18557287,2213,5.9,4.5,0.1,2.2,17146.87,8385.58
1100098,RO,2019,32374,Espigão D'Oeste,624787000,20515267,2224,5.9,4.5,0.1,0.4,19299.04,9224.49
1100106,RO,2017,47451,Guajará-Mirim,775195000,20041054,3434,4.9,,0.6,,16336.75,5836.07
1100106,RO,2019,46174,Guajará-Mirim,892778000,23333854,3287,5.0,,0.8,,19335.08,7098.83
1100114,RO,2017,55871,Jaru,1354733000,27752822,3653,5.7,,0.2,1.0,24247.52,7597.27
1100114,RO,2019,51775,Jaru,1500855000,35373841,3393,5.9,,0.1,0.4,28988.03,10425.54
1100122,RO,2017,132667,Ji-Paraná,3062162000,48281686,4532,7.0,,0.1,0.4,23081.57,10653.51
1100122,RO,2019,128969,Ji-Paraná,3783206000,54517820,4749,6.3,,0.0,1.0,29334.23,11479.85
1100130,RO,2017,38609,Machadinho D'Oeste,587758000,27296926,3791,4.9,,0.5,1.5,15223.34,7200.46
1100130,RO,2019,39991,Machadinho D'Oeste,632997000,32745877,3029,5.0,,0.1,,15828.49,10810.79
1100148,RO,2017,21747,Nova Brasilândia D'Oeste,345425000,12543953,1662,5.8,5.6,0.1,0.8,15883.8,7547.5
1100148,RO,2019,20474,Nova Brasilândia D'Oeste,359625000,15284821,1690,6.8,5.7,0.0,0.0,17564.96,9044.27
1100155,RO,2017,39759,Ouro Preto do Oeste,762112000,24191144,3180,5.9,,0.2,3.3,19168.29,7607.28
1100155,RO,2019,36035,Ouro Preto do Oeste,834959000,26910686,2707,5.6,,0.1,,23170.78,9941.15
1100189,RO,2017,38051,Pimenta Bueno,1050682000,24196237,2919,6.1,5.0,0.2,4.5,27612.47,8289.22
1100189,RO,2019,36660,Pimenta Bueno,1164694000,29132464,2793,5.9,,0.2,1.2,31770.16,10430.53
1100205,RO,2017,519436,Porto Velho,16974627000,274465558,32873,5.1,3.9,1.3,5.0,32678.96,8349.27
1100205,RO,2019,529544,Porto Velho,17906443000,298397401,30837,5.3,,1.3,12.2,33814.84,9676.6
1100254,RO,2017,22124,Presidente Médici,410136000,10802885,1230,6.1,,0.1,1.6,18538.06,8782.83
1100254,RO,2019,18986,Presidente Médici,427885000,12516842,1094,5.6,,0.2,0.0,22536.87,11441.35
1100262,RO,2017,3829,Rio Crespo,105272000,4700906,418,4.7,,0.0,2.1,27493.34,11246.19
1100262,RO,2019,3764,Rio Crespo,111100000,5734620,427,4.0,,0.0,0.0,29516.47,13430.02
